"fielder_pos","inning","batting_run_differential","outs_on_play","runs_on_play","throw","exchange","throw_dist","time_to_catch","ball_vx_0","ball_vz_0","ball_vy_0","ball_v_0","ball_ax_0","ball_az_0","ball_ay_0","ball_apex_x","ball_apex_y","ball_apex_z","player_px_7_0","player_py_7_0","player_px_8_0","player_py_8_0","player_px_9_0","player_py_9_0","landing_location_x","landing_location_y","launch_angle","launch_direction","launch_speed","runner_season_top_velo","runner_id","fielder_id","fielding_team_id","hitting_team_id","play_id"
8,7,3,0,1,80.208,1,252.928,6.307,-16.22704,73.40083,54.56529,92.88902,2.90401,-33.94527,-33.02126,-42.45429,141.74315,149.37843,NA,NA,NA,NA,NA,NA,-72.79165,246.91122,52.11086,-16.63957,94.83468,8.31,118,130,26,18,941
8,8,2,0,1,NA,0.667,NA,4.805,-11.91732,45.13468,68.00614,82.48634,0.42792,-21.30652,-25.82851,-20.7797,174.75058,80.03438,-126.628,268.412,-12.783,320.464,132.037,265.444,-16.88359,306.76177,33.22106,-10.01443,83.96709,8.31,118,384,15,18,942
9,5,2,0,1,59.42,1.534,189.975,5.172,14.77378,48.23336,72.53214,88.3495,0.83374,-20.80449,-32.52939,37.17793,190.89186,87.8046,-141.417,255.379,-26.456,300.306,124.067,261.849,62.53487,333.19668,33.12649,11.49082,89.8705,8.31,118,227,16,18,943
7,1,1,0,1,NA,0.968,255.59,6.473,-25.67013,76.29837,46.94383,93.18863,10.62817,-33.27389,-36.91916,-81.9464,118.81914,158.3909,-144.422,259.169,-12.085,321.001,129.979,263.59,-150.94094,205.72488,55.09761,-28.31549,95.10134,8.31,118,531,30,18,944
8,9,1,0,1,NA,1.369,229.992,3.87,-12.48063,34.01959,89.61866,96.66749,1.59364,-19.03262,-31.4839,-36.23762,200.99764,51.99294,NA,NA,NA,NA,NA,NA,-75.41893,350.12141,20.68481,-7.77149,98.00353,8.31,118,196,19,18,945
7,9,6,0,0,NA,NA,NA,5.739,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.31,118,482,22,18,946
8,9,6,0,1,NA,0.934,170.32,5.539,-1.61636,51.39924,73.54673,89.74194,0.83374,-20.80449,-32.52939,5.92957,198.3426,101.19947,-136.261,248.801,-6.369,309.226,143.432,265.58,16.63755,342.13606,34.92429,-1.37289,91.28263,8.31,118,44,22,18,947
7,4,2,0,1,72.697,2.202,171.795,6.106,-17.44642,63.14574,62.82226,90.76562,3.06214,-29.2977,-33.18341,-46.48585,173.16549,129.73536,-132.828,259.04,16.259,315.362,128.369,260.65,-79.38645,300.5742,44.03294,-15.4207,92.3252,8.313,118,86,12,28,948
9,5,4,0,0,NA,0.867,164.848,5.171,22.95791,58.87658,44.21578,77.12686,-2.8672,-31.25528,-28.43935,73.00901,101.74016,104.91393,NA,NA,NA,NA,NA,NA,145.22688,174.54575,49.57956,27.08808,78.90398,8.313,118,300,13,28,949
8,5,4,0,0,81.773,1.1,147.27,5.305,-7.66233,57.18159,49.89493,76.27548,-1.09325,-28.63882,-28.98075,-14.95065,125.39809,101.66168,NA,NA,NA,NA,NA,NA,-12.63591,219.54629,48.40357,-8.26321,78.0646,8.313,118,214,13,28,950
8,8,-4,0,1,84.58,0.834,208.944,5.505,1.09588,53.38394,64.37327,83.6359,1.11316,-22.79764,-27.70257,21.75063,179.39545,99.92543,NA,NA,NA,NA,NA,NA,60.27047,316.80693,39.60851,0.62385,84.87172,8.313,118,350,1,28,951
